,name,Date,value_to_predict
188,AMZN,2001-05-04,0.6535868399296991
189,AMZN,2001-05-07,0.5988111976925055
190,AMZN,2001-05-08,0.5428193275992416
191,AMZN,2001-05-09,0.5001395492679863
192,AMZN,2001-05-10,0.4585443955255555
193,AMZN,2001-05-11,0.4239720999577234
194,AMZN,2001-05-14,0.3967612190590741
195,AMZN,2001-05-15,0.3837684138169404
196,AMZN,2001-05-16,0.3767671897256639
197,AMZN,2001-05-17,0.382737739965326
198,AMZN,2001-05-18,0.365839257099824
199,AMZN,2001-05-21,0.3579122566883014
200,AMZN,2001-05-22,0.3877514239923859
201,AMZN,2001-05-23,0.4102789961105443
202,AMZN,2001-05-24,0.4268389037518915
203,AMZN,2001-05-25,0.4117462740192698
204,AMZN,2001-05-29,0.3891035266228413
205,AMZN,2001-05-30,0.3615951571673363
206,AMZN,2001-05-31,0.3513715475361535
207,AMZN,2001-06-01,0.3193853109918957
208,AMZN,2001-06-04,0.2802348506532382
209,AMZN,2001-06-05,0.2455456177371348
210,AMZN,2001-06-06,0.1964468434525518
211,AMZN,2001-06-07,0.1914489861914741
212,AMZN,2001-06-08,0.1719077304821564
213,AMZN,2001-06-11,0.1628060091331627
214,AMZN,2001-06-12,0.1747104089312954
215,AMZN,2001-06-13,0.1860458197740884
216,AMZN,2001-06-14,0.2315916323673283
217,AMZN,2001-06-15,0.2730241357485456
218,AMZN,2001-06-18,0.3355194412974124
219,AMZN,2001-06-19,0.3725958529635736
220,AMZN,2001-06-20,0.4360869468864612
221,AMZN,2001-06-21,0.4754501288127489
222,AMZN,2001-06-22,0.524339303530908
223,AMZN,2001-06-25,0.5491971106658189
224,AMZN,2001-06-26,0.5652818611844719
225,AMZN,2001-06-27,0.5850920602307033
226,AMZN,2001-06-28,0.6075550551899395
227,AMZN,2001-06-29,0.6299100993182742
228,AMZN,2001-07-02,0.6474118390705194
229,AMZN,2001-07-03,0.6663448606314853
230,AMZN,2001-07-05,0.6963756858887196
231,AMZN,2001-07-06,0.697087478870414
232,AMZN,2001-07-09,0.6974344250366559
233,AMZN,2001-07-10,0.7061506208222214
234,AMZN,2001-07-11,0.7173849374609963
235,AMZN,2001-07-12,0.7348896401699165
236,AMZN,2001-07-13,0.7366412101857504
237,AMZN,2001-07-16,0.7275905390923172
238,AMZN,2001-07-17,0.7284106013222469
239,AMZN,2001-07-18,0.7399800218023093
240,AMZN,2001-07-19,0.7606341036073292
241,AMZN,2001-07-20,0.788810102259717
242,AMZN,2001-07-23,0.8381138146353926
243,AMZN,2001-07-24,0.8984805032914194
244,AMZN,2001-07-25,0.9047233811676504
245,AMZN,2001-07-26,0.9034175743695394
246,AMZN,2001-07-27,0.9030602155398664
247,AMZN,2001-07-30,0.9023744633774026
248,AMZN,2001-07-31,0.9038726783611888
249,AMZN,2001-08-01,0.9045627668712422
250,AMZN,2001-08-02,0.9037552533839328
251,AMZN,2001-08-03,0.8982877069255115
252,AMZN,2001-08-06,0.893600790130861
253,AMZN,2001-08-07,0.8926083129026464
254,AMZN,2001-08-08,0.8853443787829435
255,AMZN,2001-08-09,0.8751764687119016
256,AMZN,2001-08-10,0.8624190418297157
257,AMZN,2001-08-13,0.8549101222426787
258,AMZN,2001-08-14,0.8481293312261984
259,AMZN,2001-08-15,0.8364359704021418
260,AMZN,2001-08-16,0.8160804922287258
261,AMZN,2001-08-17,0.8076102241167201
262,AMZN,2001-08-20,0.7943843697681059
263,AMZN,2001-08-21,0.7734576756974559
264,AMZN,2001-08-22,0.7597359801617222
265,AMZN,2001-08-23,0.7375833768356544
266,AMZN,2001-08-24,0.7225273770790958
267,AMZN,2001-08-27,0.6786940880394243
268,AMZN,2001-08-28,0.6167139389951
269,AMZN,2001-08-29,0.547826562196928
270,AMZN,2001-08-30,0.4812006723953314
271,AMZN,2001-08-31,0.4455775980312182
272,AMZN,2001-09-04,0.3774512283910227
273,AMZN,2001-09-05,0.325101314082743
274,AMZN,2001-09-06,0.3069122333086403
275,AMZN,2001-09-07,0.2748242381344303
276,AMZN,2001-09-10,0.3385129519146906
277,AMZN,2001-09-17,0.3751420313691632
278,AMZN,2001-09-18,0.4135553706868417
279,AMZN,2001-09-19,0.4544583081804236
280,AMZN,2001-09-20,0.4765653155503906
281,AMZN,2001-09-21,0.5197344461185923
282,AMZN,2001-09-24,0.5877681672798546
283,AMZN,2001-09-25,0.6365781808985508
284,AMZN,2001-09-26,0.6670377024163792
285,AMZN,2001-09-27,0.6557311949380717
286,AMZN,2001-09-28,0.6595261644224153
287,AMZN,2001-10-01,0.6501796278504487
288,AMZN,2001-10-02,0.6358861059767495
289,AMZN,2001-10-03,0.6363668468066127
290,AMZN,2001-10-04,0.6581484001589675
291,AMZN,2001-10-05,0.6783551377298224
292,AMZN,2001-10-08,0.6897691736555025
293,AMZN,2001-10-09,0.6859240789019345
294,AMZN,2001-10-10,0.6740979465319034
295,AMZN,2001-10-11,0.6683645843980224
296,AMZN,2001-10-12,0.6573687337395208
297,AMZN,2001-10-15,0.6526314341646953
298,AMZN,2001-10-16,0.6594391298023726
299,AMZN,2001-10-17,0.6719863830003018
300,AMZN,2001-10-18,0.6892227287390423
301,AMZN,2001-10-19,0.6984679861483081
302,AMZN,2001-10-22,0.7005833424000038
303,AMZN,2001-10-23,0.7040865247607554
304,AMZN,2001-10-24,0.72901514036154
305,AMZN,2001-10-25,0.725314943413025
306,AMZN,2001-10-26,0.7225629109891805
307,AMZN,2001-10-29,0.7139306615468156
308,AMZN,2001-10-30,0.7018300131369563
309,AMZN,2001-10-31,0.6843045279758563
310,AMZN,2001-11-01,0.6950828468757804
311,AMZN,2001-11-02,0.6830246429163843
312,AMZN,2001-11-05,0.6526252361392816
313,AMZN,2001-11-06,0.6137753982575287
314,AMZN,2001-11-07,0.5827749909426613
315,AMZN,2001-11-08,0.5424569167071953
316,AMZN,2001-11-09,0.4972287549223596
317,AMZN,2001-11-12,0.4416480600413676
318,AMZN,2001-11-13,0.3736309220630905
319,AMZN,2001-11-14,0.4012934842469522
320,AMZN,2001-11-15,0.4086210808393102
321,AMZN,2001-11-16,0.3099447935198557
322,AMZN,2001-11-19,0.2459843793988192
323,AMZN,2001-11-20,0.1927003985388962
324,AMZN,2001-11-21,0.115336611723954
325,AMZN,2001-11-23,0.0209126003264497
326,AMZN,2001-11-26,-0.1069690302810628
327,AMZN,2001-11-27,-0.1849243793007148
328,AMZN,2001-11-28,-0.2152818583202789
329,AMZN,2001-11-29,-0.2494146211952256
330,AMZN,2001-11-30,-0.2644745598228961
331,AMZN,2001-12-03,-0.2353004389044405
332,AMZN,2001-12-04,-0.2081166982698593
333,AMZN,2001-12-05,-0.1740891980782183
334,AMZN,2001-12-06,-0.1976392000318785
335,AMZN,2001-12-07,-0.2350590504257808
336,AMZN,2001-12-10,-0.255491507654784
337,AMZN,2001-12-11,-0.2654804768586093
338,AMZN,2001-12-12,-0.2817456786373416
339,AMZN,2001-12-13,-0.3021378625995286
340,AMZN,2001-12-14,-0.3315148554426951
341,AMZN,2001-12-17,-0.3455911938693654
342,AMZN,2001-12-18,-0.3615195196814861
343,AMZN,2001-12-19,-0.365673708833629
344,AMZN,2001-12-20,-0.3608448124918066
345,AMZN,2001-12-21,-0.3618980395057661
346,AMZN,2001-12-24,-0.3527039630613269
347,AMZN,2001-12-26,-0.3474633902999943
348,AMZN,2001-12-27,-0.3019651252414103
349,AMZN,2001-12-28,-0.185736602348474
350,AMZN,2001-12-31,-0.102077795212269
351,AMZN,2002-01-02,-0.0082178080077295
352,AMZN,2002-01-03,0.0691320321676434
353,AMZN,2002-01-04,0.1557937678534816
354,AMZN,2002-01-07,0.2446148507083471
355,AMZN,2002-01-08,0.313728672971715
356,AMZN,2002-01-09,0.3719310868568447
357,AMZN,2002-01-10,0.4117594175999077
358,AMZN,2002-01-11,0.461887434971286
359,AMZN,2002-01-14,0.5095944186044157
360,AMZN,2002-01-15,0.5560820011073698
361,AMZN,2002-01-16,0.6231019755438297
362,AMZN,2002-01-17,0.683272501717297
363,AMZN,2002-01-18,0.763479344976796
364,AMZN,2002-01-22,0.8336067507337299
365,AMZN,2002-01-23,0.841118968919593
366,AMZN,2002-01-24,0.8562406786100079
367,AMZN,2002-01-25,0.8554238273031912
368,AMZN,2002-01-28,0.8559129715594307
369,AMZN,2002-01-29,0.8587047882064927
370,AMZN,2002-01-30,0.8675444222061887
371,AMZN,2002-01-31,0.8671644820836336
372,AMZN,2002-02-01,0.8663573984046862
373,AMZN,2002-02-04,0.8663412826231364
374,AMZN,2002-02-05,0.8620824336815869
375,AMZN,2002-02-06,0.8506954137247332
376,AMZN,2002-02-07,0.8439808573718269
377,AMZN,2002-02-08,0.8277720642210741
378,AMZN,2002-02-11,0.8160263328407126
379,AMZN,2002-02-12,0.8123973963497987
380,AMZN,2002-02-13,0.8037154348603026
381,AMZN,2002-02-14,0.80367793998731
